"Education","Male","Female","Total","country","Year"
"Secondary","247","180","427","Iraq",2017
"Technical School","97","106","203","Iraq",2017
"University/College","305","264","569","Iraq",2017
"Unknown","3","4","7","Iraq",2017
"Bio Data not Complete","16","2","18","Iraq",2018
"Graduate School","0","1","1","Iraq",2018
"Intermediate","5","5","10","Iraq",2018
"Primary","10","8","18","Iraq",2018
"Secondary","8","7","15","Iraq",2018
"Technical School","4","4","8","Iraq",2018
"University/College","8","13","21","Iraq",2018
"Bio Data not Complete","730","541","1271","Somalia",2009
"Graduate School","0","3","3","Somalia",2009
"Intermediate","4","11","15","Somalia",2009
"Kindergarten","60","60","120","Somalia",2009
"NONE","749","506","1255","Somalia",2009
"Primary","675","899","1574","Somalia",2009
"Professional","4","9","13","Somalia",2009
"Secondary","67","198","265","Somalia",2009
"Technical School","7","28","35","Somalia",2009
"University/College","11","42","53","Somalia",2009
"Unknown","9","7","16","Somalia",2009
"Bio Data not Complete","262","181","443","Somalia",2010
"Graduate School","0","2","2","Somalia",2010
"Intermediate","38","45","83","Somalia",2010
"Kindergarten","55","60","115","Somalia",2010
"NONE","1058","812","1870","Somalia",2010
"Pre-University","0","1","1","Somalia",2010
"Primary","642","812","1454","Somalia",2010
"Professional","10","17","27","Somalia",2010
"Secondary","78","236","314","Somalia",2010
"Technical School","6","16","22","Somalia",2010
"University/College","16","30","46","Somalia",2010
"Unknown","10","14","24","Somalia",2010
"Bio Data not Complete","689","446","1135","Somalia",2011
"Intermediate","30","26","56","Somalia",2011
"Kindergarten","47","47","94","Somalia",2011
"NONE","376","223","599","Somalia",2011
"Primary","539","649","1188","Somalia",2011
"Professional","3","10","13","Somalia",2011
"Secondary","89","193","282","Somalia",2011
"Technical School","5","10","15","Somalia",2011
"University/College","20","25","45","Somalia",2011
"Unknown","15","11","26","Somalia",2011
"Bio Data not Complete","1118","938","2056","Somalia",2012
"Graduate School","0","1","1","Somalia",2012
"Intermediate","53","88","141","Somalia",2012
"Kindergarten","56","74","130","Somalia",2012
"NONE","479","361","840","Somalia",2012
"Pre-University","0","1","1","Somalia",2012
"Primary","757","1155","1912","Somalia",2012
"Professional","19","35","54","Somalia",2012
"Secondary","133","415","548","Somalia",2012
"Technical School","16","34","50","Somalia",2012
"University/College","20","74","94","Somalia",2012
"Unknown","23","43","66","Somalia",2012
"Bio Data not Complete","1558","1361","2919","Somalia",2013
"Graduate School","0","4","4","Somalia",2013
"Intermediate","61","87","148","Somalia",2013
"Kindergarten","88","84","172","Somalia",2013
"NONE","447","359","806","Somalia",2013
"Pre-University","1","1","2","Somalia",2013
"Primary","981","1459","2440","Somalia",2013
"Professional","27","48","75","Somalia",2013
"Secondary","147","479","626","Somalia",2013
"Technical School","15","37","52","Somalia",2013
"University/College","23","87","110","Somalia",2013
"Unknown","47","49","96","Somalia",2013
"Bio Data not Complete","2358","1811","4169","Somalia",2014
"Graduate School","0","8","8","Somalia",2014
"Intermediate","56","95","151","Somalia",2014
"Kindergarten","175","156","331","Somalia",2014
"NONE","475","392","867","Somalia",2014
