"Age Group","Male","Female","Total","country","Year"
"Under 14","989","990","1979","DRC",2014
"Age 14 to 20","543","573","1116","DRC",2014
"Age 21 to 30","441","414","855","DRC",2014
"Age 31 to 40","303","188","491","DRC",2014
"Age 41 to 50","227","194","421","DRC",2014
"Age 51 to 64","102","116","218","DRC",2014
"Age 65 and Over","28","20","48","DRC",2014
"Under 14","1637","1644","3281","DRC",2015
"Age 14 to 20","777","877","1654","DRC",2015
"Age 21 to 30","705","729","1434","DRC",2015
"Age 31 to 40","498","363","861","DRC",2015
"Age 41 to 50","288","259","547","DRC",2015
"Age 51 to 64","144","182","326","DRC",2015
"Age 65 and Over","55","48","103","DRC",2015
"Under 14","4149","4264","8413","DRC",2016
"Age 14 to 20","1844","1958","3802","DRC",2016
"Age 21 to 30","1567","1762","3329","DRC",2016
"Age 31 to 40","1079","862","1941","DRC",2016
"Age 41 to 50","689","568","1257","DRC",2016
"Age 51 to 64","404","447","851","DRC",2016
"Age 65 and Over","123","113","236","DRC",2016
"Under 14","1106","1105","2211","DRC",2017
"Age 14 to 20","481","498","979","DRC",2017
"Age 21 to 30","484","533","1017","DRC",2017
"Age 31 to 40","300","235","535","DRC",2017
"Age 41 to 50","171","149","320","DRC",2017
"Age 51 to 64","106","125","231","DRC",2017
"Age 65 and Over","36","23","59","DRC",2017
"Under 14","1872","1895","3767","DRC",2018
"Age 14 to 20","794","935","1729","DRC",2018
"Age 21 to 30","826","871","1697","DRC",2018
"Age 31 to 40","495","389","884","DRC",2018
"Age 41 to 50","353","261","614","DRC",2018
"Age 51 to 64","210","241","451","DRC",2018
"Age 65 and Over","93","70","163","DRC",2018
"Under 14","2570","2717","5287","Iraq",2009
"Age 14 to 20","1127","1261","2388","Iraq",2009
"Age 21 to 30","1868","2301","4169","Iraq",2009
"Age 31 to 40","1540","1717","3257","Iraq",2009
"Age 41 to 50","1072","1014","2086","Iraq",2009
"Age 51 to 64","916","680","1596","Iraq",2009
"Age 65 and Over","402","292","694","Iraq",2009
"Under 14","2326","2561","4887","Iraq",2010
"Age 14 to 20","1054","1201","2255","Iraq",2010
"Age 21 to 30","1638","2167","3805","Iraq",2010
"Age 31 to 40","1398","1743","3141","Iraq",2010
"Age 41 to 50","997","1006","2003","Iraq",2010
"Age 51 to 64","808","707","1515","Iraq",2010
"Age 65 and Over","346","299","645","Iraq",2010
"Under 14","726","816","1542","Iraq",2011
"Age 14 to 20","360","367","727","Iraq",2011
"Age 21 to 30","628","774","1402","Iraq",2011
"Age 31 to 40","475","514","989","Iraq",2011
"Age 41 to 50","338","345","683","Iraq",2011
"Age 51 to 64","384","298","682","Iraq",2011
"Age 65 and Over","188","126","314","Iraq",2011
"Under 14","2082","2248","4330","Iraq",2012
"Age 14 to 20","817","952","1769","Iraq",2012
"Age 21 to 30","1490","1992","3482","Iraq",2012
"Age 31 to 40","1231","1500","2731","Iraq",2012
"Age 41 to 50","848","904","1752","Iraq",2012
"Age 51 to 64","869","706","1575","Iraq",2012
"Age 65 and Over","388","342","730","Iraq",2012
"Under 14","2407","2709","5116","Iraq",2013
"Age 14 to 20","917","1151","2068","Iraq",2013
"Age 21 to 30","1635","2078","3713","Iraq",2013
"Age 31 to 40","1404","1614","3018","Iraq",2013
"Age 41 to 50","949","1063","2012","Iraq",2013
"Age 51 to 64","979","780","1759","Iraq",2013
"Age 65 and Over","441","440","881","Iraq",2013
"Under 14","2704","3097","5801","Iraq",2014
"Age 14 to 20","983","1245","2228","Iraq",2014
"Age 21 to 30","1876","2392","4268","Iraq",2014
